Date,AMZN,DPZ,BTC,NFLX
2014-10-06,322.200012,74.349693,331.649994,66.211426
2014-10-07,316.980011,73.356445,350.869995,65.178574
2014-10-08,322.700012,74.41655,360.910004,66.694283
2014-10-09,315.369995,73.251404,361.709991,65.945717
2014-10-10,311.390015,72.974449,361.220001,64.582855
2014-10-13,306.450012,72.315483,397.100006,62.654285
2014-10-14,308.309998,80.509697,393.170013,64.160004
2014-10-15,305.970001,79.888931,379.769989,64.084282
2014-10-16,302.859985,80.156342,380.480011,51.671429
2014-10-17,303.640015,81.025391,390.880005,51.012856
2014-10-20,306.209991,82.133255,382.350006,51.317142
2014-10-21,315.329987,82.123711,378.929993,52.284286
2014-10-22,312.970001,82.563011,355.779999,53.521427
2014-10-23,313.179993,83.374802,355.100006,54.720001
2014-10-24,287.059998,83.737724,346.720001,55.002857
2014-10-27,289.970001,84.291634,350.089996,54.200001
2014-10-28,295.589996,84.998367,351.059998,55.174286
2014-10-29,294.119995,84.979271,335.119995,54.014286
2014-10-30,299.070007,84.883766,344.859985,54.144287
2014-10-31,305.459991,84.797806,337.869995,56.110001
2014-11-03,305.720001,85.523643,324.23999,55.487144
2014-11-04,302.809998,86.192177,327.959991,54.682858
2014-11-05,296.519989,86.430923,338.01001,54.34
2014-11-06,296.640015,86.765182,347.670013,54.757141
2014-11-07,299.859985,86.717445,341.869995,54.880001
2014-11-10,305.109985,87.939896,367.149994,55.324287
2014-11-11,312.01001,87.452843,365.420013,54.650002
2014-11-12,311.51001,87.529213,432.029999,54.837143
2014-11-13,316.480011,87.739334,428.720001,54.201427
2014-11-14,327.820007,87.34774,396.529999,55.148571
2014-11-17,323.049988,86.927544,384.690002,54.44857
2014-11-18,324.929993,87.405067,379.160004,54.432858
2014-11-19,326.540009,87.300018,381.429993,51.871429
2014-11-20,330.540009,88.31234,357.299988,52.591427
2014-11-21,332.630005,88.532005,351.769989,51.468571
2014-11-24,335.640015,89.17189,378.850006,50.924286
2014-11-25,335.040009,88.971329,376.429993,49.855713
2014-11-26,333.570007,89.038177,365.350006,50.165714
2014-11-28,338.640015,89.630302,377.589996,49.512856
2014-12-01,326.0,89.964554,378.609985,48.830002
2014-12-02,326.309998,90.814537,380.640015,50.330002
2014-12-03,316.5,91.397118,376.959991,50.73143
2014-12-04,316.929993,91.616776,369.839996,50.085712
2014-12-05,312.630005,90.623543,377.630005,50.131428
2014-12-08,306.640015,91.110611,364.950012,48.497143
2014-12-09,312.5,90.652184,352.190002,49.111427
2014-12-10,305.839996,89.124146,347.940002,47.759998
2014-12-11,307.359985,90.129616,347.679993,47.804287
2014-12-12,307.320007,91.039345,353.399994,47.782856
2014-12-15,306.070007,90.014702,345.369995,46.720001
2014-12-16,295.059998,88.980484,330.220001,45.205715
2014-12-17,298.880005,89.468872,320.019989,47.664288
2014-12-18,297.730011,90.445625,310.339996,47.774284
2014-12-19,299.899994,91.633041,317.779999,48.58857
2014-12-22,306.540009,91.83416,330.839996,48.097141
2014-12-23,306.290009,91.566025,335.25,48.061428
2014-12-24,303.029999,91.345787,322.399994,48.871429
2014-12-26,309.089996,91.403221,329.980011,48.578571
2014-12-29,312.040009,91.393646,314.119995,48.847141
2014-12-30,310.299988,90.895699,311.269989,49.032856
2014-12-31,310.350006,90.17749,318.23999,48.80143
2015-01-02,308.519989,90.292412,315.209991,49.848572
2015-01-05,302.190002,91.422379,274.839996,47.311428
2015-01-06,295.290009,90.292412,282.269989,46.501427
2015-01-07,298.420013,93.36631,291.339996,46.742859
2015-01-08,300.459991,96.50724,282.690002,47.779999
2015-01-09,296.929993,96.23912,287.970001,47.041428
2015-01-12,291.410004,97.790451,269.329987,45.547142
2015-01-13,294.73999,97.388252,221.289993,46.255714
2015-01-14,293.269989,94.71653,164.919998,46.32
2015-01-15,286.950012,92.724724,209.779999,46.251427
2015-01-16,290.73999,94.314339,206.919998,48.191429
2015-01-20,289.440002,93.375885,210.550003,49.828571
2015-01-21,297.25,93.251411,228.169998,58.468571
2015-01-22,310.320007,94.812302,232.699997,61.205715
2015-01-23,312.390015,93.940872,232.169998,62.494286
2015-01-26,309.660004,94.553741,269.179993,63.794285
2015-01-27,306.75,94.735687,263.269989,64.881432
2015-01-28,303.910004,95.654968,236.169998,63.208572
2015-01-29,311.779999,96.995628,233.990005,63.400002
2015-01-30,354.529999,94.850594,231.839996,63.114285
2015-02-02,364.470001,93.92173,238.860001,63.009998
2015-02-03,363.549988,95.157043,227.410004,65.274284
2015-02-04,364.75,95.492195,226.580002,64.101425
2015-02-05,373.890015,95.511337,216.520004,64.129997
2015-02-06,374.279999,95.626266,222.960007,63.48
2015-02-09,370.559998,94.44841,220.339996,63.295715
2015-02-10,373.0,96.650864,219.669998,64.849998
2015-02-11,375.140015,96.191246,218.830002,64.984283
2015-02-12,377.170013,96.296585,221.789993,65.247147
2015-02-13,381.829987,95.76033,236.169998,66.585716
2015-02-17,375.429993,96.401901,243.199997,67.137146
2015-02-18,373.369995,97.531898,235.199997,67.865715
2015-02-19,379.0,97.436119,241.919998,67.800003
2015-02-20,383.660004,98.15432,244.520004,68.314285
2015-02-23,380.140015,100.069534,238.820007,67.405716
2015-02-24,378.589996,99.140648,238.889999,67.839996
2015-02-25,385.369995,99.523705,237.330002,68.332855
2015-02-26,384.799988,99.590744,236.529999,69.004288
2015-02-27,380.160004,97.225449,253.470001,67.844284
2015-03-02,385.660004,100.01207,273.75,68.60714
2015-03-03,384.609985,98.470345,280.649994,67.815712
2015-03-04,382.720001,98.901245,271.920013,67.110001
2015-03-05,387.829987,98.997025,275.230011,66.807144
2015-03-06,380.089996,96.59343,272.559998,64.874283
2015-03-09,378.559998,97.06266,290.019989,63.66143
2015-03-10,369.51001,94.831436,291.369995,62.151428
2015-03-11,366.369995,94.29351,295.600006,62.884285
2015-03-12,374.23999,96.752663,293.850006,64.045715
2015-03-13,370.579987,95.792068,287.209991,62.628571
2015-03-16,373.350006,97.530754,290.410004,60.281429
2015-03-17,371.920013,98.126335,285.380005,59.78857
2015-03-18,375.140015,98.145538,255.919998,60.445713
2015-03-19,373.23999,99.682518,260.929993,60.744286
2015-03-20,378.48999,100.508652,261.779999,61.185715
2015-03-23,375.109985,99.922676,265.459991,60.714287
2015-03-24,374.089996,99.989922,246.720001,62.611427
